token, fname, lname, job, city, country
160,Tony,Tuffy,drummer,São Paulo,Brazil
161,Bertie,Winner,guitarist,Virgin Islands,Virgin Islands
162,Mark,Jackson,photographer,London,UK
163,Cedella,Spirit,singer,Amsterdan,NL
164,Benny,Stone,producer,St. Ann,Jamaica
165,Noel,Bhing,teacher,New York,USA
166,Shelly,Davidson,box lifter,Negril,Jamaica
167,Courtney,West,welder,Panama,Panama
168,Francis,Bennett,percussionist,New York,USA
169,Lloyd,Haynes,designer,Kingston,Jamaica
170,Tony,Chung,promoter,Ocho Rios,Jamaica
171,Clair,Bhing,artisan,Negril,Jamaica
172,Lou,Thompson,trader,Luanda,Angola
173,Winnie,Green,activist,Montego Bay,Jamaica
174,Donavan,Richardson,poet,Salvador,Brazil
175,Ernie,Sterling,drummer,Kingston,Jamaica
176,Clair,Sterling,movie star,Panama,Panama
177,August,Forbes,keyboard player,Negril,Jamaica
178,Bob,Tucker,journalist,Ocho Rios,Jamaica
179,Kenroy,Ruler,percussionist,London,UK
180,Reggie,Green,journalist,Ocho Rios,Jamaica
181,Winnie,Cooper,activist,London,UK
182,Mickey,Youth,artisan,St. Ann,Jamaica
183,Bertie,Judah,driver,New York,USA
184,Daddy,Black,dread maker,London,UK
185,Don,Williams,athlete,Paris,France
186,Kenroy,Winner,deejay,Ocho Rios,Jamaica
187,Ras,Juice,philosopher,Miami,USA
188,Likkle,Tucker,activist,São Luís,Brazil
189,Casey,Davidson,designer,Kingston,Jamaica
190,Taniyah,Campbell,teacher,Havana,Cuba
191,Glen,Killah,guitarist,Birmingham,UK
192,Cedella,Thompson,grower,London,UK
193,Vinnie,Henderson,promoter,Ocho Rios,Jamaica
194,Alex,Wallace,farmer,New York,USA
195,Ray,Chin,movie star,Spanish Town,Jamaica
196,Ranking,Jarret,deejay,Negril,Jamaica
197,Linda,Davis,bassist,Kingston,Jamaica
198,Chloe,Russell,deejay,Salvador,Brazil
199,Lloyd,Jacobs,journalist,St. Ann,Jamaica
200,Don,West,story teller,Spanish Town,Jamaica
201,Phil,Reid,welder,London,UK
202,Val,Crystal,keyboard player,Montego Bay,Jamaica
203,Jackie,Lawrence,singer,San Andres,Colombia
204,Queen,Thompson,developer,Accra,Ghana
205,Reggie,Nelson,painter,Los Angeles,USA
206,Andy,Livingston,driver,São Luís,Brazil
207,Chance,White,artisan,San Francisco,USA
208,Judy,Vernon,artisan,Los Angeles,USA
209,Shannon,Sinclair,guitarist,Lisbon,Portugal
210,Brooke,London,painter,San Diego,USA
211,Jude,Higgins,driver,São Paulo,Brazil
212,Lioness,White,dread maker,San Francisco,USA
213,Queen,Warriah,drummer,Negril,Jamaica
214,Linda,Ross,welder,St. Ann,Jamaica
215,General,Cooper,dealer,Negril,Jamaica
216,Desmond,Watson,hustler,New York,USA
217,Rickie,Wallace,dread maker,St. Ann,Jamaica
218,Phil,Kultcha,activist,Addis Abeba,Ethiopia
219,August,Bennett,selectah,Salvador,Brazil
220,Morgan,Forbes,designer,St. Ann,Jamaica
221,Judy,EastWood,athlete,Spanish Town,Jamaica
222,Brooke,Powell,dancer,Mexico City,Mexico
223,Don,Lion,mix engineer,Montego Bay,Jamaica
224,Randy,Hylton,dancer,New York,USA
225,Lloyd,Bhing,rodie,Kingston,Jamaica
226,Daddy,Livingston,promoter,Montego Bay,Jamaica
227,Sista,Williams,farmer,New York,USA
228,Gene,Juice,keyboard player,New York,USA
229,Eddie,Banton,cooker,Ocho Rios,Jamaica
230,Phil,Bull,philosopher,Bristol,UK
231,Daddy,Hyatt,singer,London,UK
232,Donavan,Powell,developer,London,UK
233,Angel,London,horns player,St. Ann,Jamaica
234,Izzy,Gibson,teacher,St. Ann,Jamaica
235,Jude,West,driver,Rio de Janeiro,Brazil
236,Casey,Warren,artisan,Bristol,UK
237,August,Levi,guitarist,Kingston,Jamaica
238,Eddie,Reid,farmer,Toronto,Canada
239,Likkle,Davis,teacher,Negril,Jamaica
240,Mickey,Smith,activist,Spanish Town,Jamaica
241,Gene,Bennett,doctor,New York,USA
242,Sista,Star,bassist,São Paulo,Brazil
243,Ali,Gibson,doctor,St. Ann,Jamaica
244,Cherry,Tucker,guitarist,Spanish Town,Jamaica
245,Kaleisha,Smokey,poet,Spanish Town,Jamaica
246,Carol,Edward,bassist,London,UK
247,Leroy,Star,dealer,Rio de Janeiro,Brazil
248,Danny,Pryce,drummer,Harare,Zimbabwe
249,Don,Watson,keyboard player,Miami,USA
250,Ernie,Fuller,deejay,New York,USA
251,Jada,Black,doctor,London,UK
252,Daddy,Anderson,singer,Spanish Town,Jamaica
253,Jennifer,Jackson,producer,New York,USA
254,Mighty,Jackson,producer,Los Angeles,USA
255,Bunny,Lawson,keyboard player,Negril,Jamaica
256,Zekiah,Stone,promoter,San Andres,Colombia
257,Ras,Asher,painter,Ocho Rios,Jamaica
258,Cameron,Forrest,singer,St. Ann,Jamaica
259,Francis,Haynes,grower,Panama,Panama
260,Ellis,Youth,box lifter,San Francisco,USA
261,Vinnie,Vibes,promoter,Spanish Town,Jamaica
262,Eddie,Pryce,athlete,Kingston,Jamaica
263,Val,Mystic,story teller,Ocho Rios,Jamaica
264,Leslie,Watson,dread maker,Mexico City,Mexico
265,Ras,Moore,painter,Rio de Janeiro,Brazil
266,Gabby,Davis,rodie,Montego Bay,Jamaica
267,Hopeton,Mystic,activist,Spanish Town,Jamaica
268,Connie,Love,dancer,Birmingham,UK
269,Ras,Levi,architect,Ocho Rios,Jamaica
270,Jennifer,Jarret,bassist,New York,USA
271,Jess,Forbes,horns player,San Francisco,USA
272,Danny,Hyatt,developer,Luanda,Angola
273,Adrian,Trader,journalist,St. Ann,Jamaica
274,Reggie,Bhing,producer,Ocho Rios,Jamaica
275,Shannon,Chin,writter,Los Angeles,USA
276,Stevie,Irie,teacher,Montego Bay,Jamaica
277,Likkle,Fuller,journalist,Birmingham,UK
278,Lloyd,Ward,driver,Kingston,Jamaica
279,Rickie,Reid,deejay,London,UK
280,Natty,Livingston,architect,New York,USA
281,Andy,Kultcha,story teller,Addis Abeba,Ethiopia
282,Ali,Reid,bassist,New York,USA
283,Jerry,Vernon,welder,Montego Bay,Jamaica
284,Francis,Thompson,philosopher,London,UK
285,Kelly,Juice,designer,Dakar,Senegal
286,Steff,Fyah,architect,Negril,Jamaica
287,Danny,Prophet,dancer,Salvador,Brazil
288,Ali,Moore,hustler,Lalibela,Ethiopia
289,Gabby,Killah,dealer,New York,USA
290,Lee,Ward,developer,London,UK
291,Benny,Henderson,keyboard player,St. Ann,Jamaica
292,Ricky,Baker,hustler,London,UK
293,Jennifer,Chambers,doctor,Negril,Jamaica
294,Mark,Livingston,farmer,Trinidad & Tobago,Trinidad & Tobago
295,Queen,Whales,poet,Havana,Cuba
296,Judy,I,welder,Spanish Town,Jamaica
297,Kaleisha,Vibez,percussionist,Spanish Town,Jamaica
298,Rickie,Haynes,athlete,Spanish Town,Jamaica
299,Don,Lewis,athlete,San Andres,Colombia
300,Ray,Wise,deejay,Mexico City,Mexico
301,Big,Youth,selectah,Harare,Zimbabwe
302,Hopeton,Tuffy,keyboard player,San Diego,USA
303,Lou,Kultcha,welder,Spanish Town,Jamaica
304,Hopeton,Bull,developer,Montego Bay,Jamaica
305,Daddy,McKenzie,box lifter,New York,USA
306,Angel,Haynes,architect,Accra,Ghana
307,Lee,Prophet,producer,Kingston,Jamaica
308,Stevie,Forrest,trader,Ocho Rios,Jamaica
309,Morgan,Bear,story teller,San Jose,Costa Rica
310,Ray,Fraser,percussionist,Negril,Jamaica
311,Francis,Hold,trader,Kingston,Jamaica
312,Randy,Bull,teacher,Negril,Jamaica
313,Mickey,Fuller,dread maker,London,UK
314,Mark,Edward,developer,St. Ann,Jamaica
315,Hopeton,Reid,percussionist,Toronto,Canada
316,Cherry,Beckford,promoter,Miami,USA
317,Angel,Hold,photographer,Ocho Rios,Jamaica
318,Zekiah,Brooks,story teller,Kingston,Jamaica
319,Leroy,Mystic,cooker,San Francisco,USA
320,Jah,Nelson,athlete,Addis Abeba,Ethiopia
321,Mel,Youth,story teller,St. Ann,Jamaica
322,Winnie,Bull,mix engineer,London,UK
323,Daryl,Davis,horns player,Negril,Jamaica
324,Sista,Clarke,bassist,Panama,Panama
325,Jerry,Warriah,philosopher,St. Ann,Jamaica
326,Ellis,Cooper,grower,Bristol,UK
327,Cherry,Clarke,dancer,Ocho Rios,Jamaica
328,Benny,Juice,writter,San Diego,USA
329,Donavan,Edward,hustler,Kingston,Jamaica
330,Lee,Mystic,percussionist,Montego Bay,Jamaica
331,August,Sinclair,box lifter,Spanish Town,Jamaica
332,Horace,Levi,cooker,Manchester,UK
333,Kelly,Judah,designer,St. Ann,Jamaica
334,Ernie,Bennett,designer,New York,USA
335,Brooke,Asher,drummer,Soweto,South Africa
336,Sammy,Banks,designer,Ocho Rios,Jamaica
337,Horace,Spirit,percussionist,New York,USA
338,Mickey,Bailey,athlete,Spanish Town,Jamaica
339,Don,Palmer,hustler,Manchester,UK
340,Noel,Winner,designer,Addis Abeba,Ethiopia
341,Ray,Chambers,grower,Spanish Town,Jamaica
342,Kimberley,26,designer,Kingston,Jamaica
343,Ray,Irie,painter,Los Angeles,USA
344,Marion,White,developer,Miami,USA
345,General,23,box lifter,London,UK
346,Bunny,Black,selectah,St. Ann,Jamaica
347,Ashley,Edward,activist,Ocho Rios,Jamaica
348,Jess,Stephens,promoter,Virgin Islands,Virgin Islands
349,Ranking,Clarke,percussionist,Spanish Town,Jamaica
350,Horace,Kultcha,architect,Ocho Rios,Jamaica
351,Natty,Beckford,selectah,St. Ann,Jamaica
352,Clair,Davis,guitarist,São Luís,Brazil
353,Stevie,Hylton,dealer,St. Ann,Jamaica
354,Bunny,Chin,selectah,Spanish Town,Jamaica
355,Eddie,Spirit,selectah,Luanda,Angola
356,Chris,Hyatt,painter,Manchester,UK
357,Ras,Henderson,architect,New York,USA
358,Reggie,Powell,percussionist,São Paulo,Brazil
359,Lioness,Spirit,architect,Havana,Cuba
360,Ashley,Ross,farmer,Los Angeles,USA
361,Benny,Beckford,photographer,Miami,USA
362,Val,Fuller,horns player,San Diego,USA
363,Benny,Rodriguez,horns player,New York,USA
364,Val,Hylton,designer,Montego Bay,Jamaica
365,Cedella,Collins,teacher,Los Angeles,USA
366,Lee,Green,percussionist,Birmingham,UK
367,Gene,Ruler,dread maker,São Luís,Brazil
368,Noel,Bennett,philosopher,Negril,Jamaica
369,Delroy,Russell,dread maker,Montego Bay,Jamaica
370,Cherry,Haynes,grower,London,UK
371,Lioness,Powell,driver,Spanish Town,Jamaica
372,Judy,24,dread maker,Kingston,Jamaica
373,Ras,Hold,teacher,Ocho Rios,Jamaica
374,Daddy,Jacobs,doctor,São Paulo,Brazil
375,Jean,Haynes,movie star,Negril,Jamaica
376,Chris,Cole,designer,San Francisco,USA
377,Leroy,Davidson,guitarist,Negril,Jamaica
378,Vinnie,Haynes,percussionist,New York,USA
379,Erin,Baker,designer,Mexico City,Mexico
380,Connie,Ross,movie star,Accra,Ghana
381,Andy,Juice,trader,Ocho Rios,Jamaica
382,Francis,Fyah,deejay,Spanish Town,Jamaica
383,Kaleisha,Brown,promoter,St. Ann,Jamaica
384,Cherry,Winner,painter,Montego Bay,Jamaica
385,Linda,Banks,activist,Negril,Jamaica
386,Judy,Forbes,architect,Montego Bay,Jamaica
387,Daddy,Nelson,journalist,Spanish Town,Jamaica
388,Randy,Smokey,bassist,San Diego,USA
389,Val,Chambers,architect,Spanish Town,Jamaica
390,Connie,Prophet,grower,Negril,Jamaica
391,Brooke,Beckford,dancer,Ocho Rios,Jamaica
392,Natty,McKenzie,grower,Los Angeles,USA
393,Mark,Vibes,dread maker,New York,USA
394,Andy,Ranks,developer,New York,USA
395,Marion,Jones,box lifter,New York,USA
396,Big,Banks,drummer,Trinidad & Tobago,Trinidad & Tobago
397,Chance,Banton,trader,Dakar,Senegal
398,Ranking,Mystic,farmer,San Andres,Colombia
399,Jah,Trader,poet,Spanish Town,Jamaica
400,Kaleisha,Ford,activist,Montego Bay,Jamaica
401,Jah,Wong,drummer,Kingston,Jamaica
402,Taylor,West,painter,Negril,Jamaica
403,Jude,Warriah,movie star,Kingston,Jamaica
404,Jean,Grant,poet,New York,USA
405,Reggie,Cole,dealer,St. Ann,Jamaica
406,Taniyah,Buchanan,story teller,Spanish Town,Jamaica
407,Lloyd,Levi,dancer,St. Ann,Jamaica
408,Likkle,Banks,driver,Manchester,UK
409,Tony,Jackson,guitarist,São Paulo,Brazil
410,Bob,Bear,horns player,Negril,Jamaica
411,Jennifer,Tuffy,dealer,San Jose,Costa Rica
412,Noel,Killah,poet,São Paulo,Brazil
413,Ali,Chung,poet,Trinidad & Tobago,Trinidad & Tobago
414,Desmond,Nelson,activist,Negril,Jamaica
415,Eddie,I,journalist,Luanda,Angola
416,Sammy,Powell,photographer,Lalibela,Ethiopia
417,Adrian,Warren,painter,San Francisco,USA
418,Daddy,Watson,teacher,Toronto,Canada
419,Steff,Beckford,dancer,Ocho Rios,Jamaica
420,Willy,Ford,developer,Negril,Jamaica
421,Horace,Asher,singer,Miami,USA
422,Sista,Green,athlete,Accra,Ghana
423,Chris,Whales,dread maker,Miami,USA
424,Glen,Prophet,journalist,Negril,Jamaica
425,Casey,Banton,percussionist,Negril,Jamaica
426,Daryl,Star,welder,St. Ann,Jamaica
427,Jude,Johnson,farmer,Panama,Panama
428,Brooke,Nelson,developer,Negril,Jamaica
429,Alex,Nelson,trader,Montego Bay,Jamaica
430,Ellis,Black,dread maker,Los Angeles,USA
431,Aayla,Gibson,dread maker,Ocho Rios,Jamaica
432,Ernie,Reid,developer,St. Ann,Jamaica
433,Desmond,Jacobs,keyboard player,Lalibela,Ethiopia
434,Mark,Forrest,bassist,Mexico City,Mexico
435,Lee,Edward,developer,Negril,Jamaica
436,Queen,Silvera,dread maker,London,UK
437,Jah,McKenzie,architect,New York,USA
438,Stevie,Bear,activist,St. Ann,Jamaica
439,Chris,Williams,developer,Trinidad & Tobago,Trinidad & Tobago
440,Jerry,Nelson,dancer,San Diego,USA
441,Lou,Rodriguez,mix engineer,São Luís,Brazil
442,Horace,Black,athlete,Ocho Rios,Jamaica
443,Francis,Palmer,activist,Salvador,Brazil
444,Mel,Irie,trader,São Luís,Brazil
445,Mark,Chin,poet,Virgin Islands,Virgin Islands
446,Jerry,Campbell,trader,Montego Bay,Jamaica
447,Chris,Echo,farmer,St. Ann,Jamaica
448,Chris,Crystal,box lifter,Paris,France
449,Connie,Fyah,grower,Panama,Panama
450,Morgan,Levi,designer,New York,USA
451,Chris,Cooper,deejay,Kingston,Jamaica
452,Kenroy,Livingston,poet,Kingston,Jamaica
453,Zekiah,McKenzie,trader,Mexico City,Mexico
454,Erin,Anderson,dancer,Kingston,Jamaica
455,Phil,Higgins,story teller,New York,USA
456,Shelly,Fuller,grower,Accra,Ghana
457,Bertie,McKenzie,teacher,London,UK
458,Cedella,Lewis,singer,St. Ann,Jamaica
459,Erin,Irie,horns player,Montego Bay,Jamaica
460,Jess,Wonder,architect,Luanda,Angola
461,Courtney,Forrest,rodie,San Diego,USA
462,Bertie,Fraser,rodie,Montego Bay,Jamaica
463,Lou,Silvera,driver,Paris,France
464,Donavan,Hold,mix engineer,Panama,Panama
465,Jah,Banks,photographer,Ocho Rios,Jamaica
466,Marion,Brooks,grower,New York,USA
467,Alex,Pryce,architect,Spanish Town,Jamaica
468,Mel,Cooper,activist,Lalibela,Ethiopia
469,Izzy,White,journalist,St. Ann,Jamaica
470,Kimberley,Judah,designer,Trinidad & Tobago,Trinidad & Tobago
471,Jada,Tucker,grower,London,UK
472,Danny,Fuller,cooker,Montego Bay,Jamaica
473,Courtney,Winner,box lifter,Negril,Jamaica
474,Clive,Hold,story teller,San Andres,Colombia
475,Phil,Fuller,architect,Los Angeles,USA
476,Ollie,Black,developer,Ocho Rios,Jamaica
477,Bertie,Stone,drummer,San Diego,USA
478,Jude,Black,singer,São Luís,Brazil
479,Ranking,Chin,writter,Montego Bay,Jamaica
480,Taylor,I,percussionist,São Luís,Brazil
481,Ras,Black,rodie,Miami,USA
482,Taniyah,Fraser,horns player,Negril,Jamaica
483,Danny,Youth,welder,São Luís,Brazil
484,Jude,Ward,keyboard player,Ocho Rios,Jamaica
485,Courtney,Grant,story teller,Trinidad & Tobago,Trinidad & Tobago
486,Adrian,Jarret,activist,New York,USA
487,Willy,Ward,poet,New York,USA
488,Cherry,Jarret,dancer,Ocho Rios,Jamaica
489,Leroy,Whales,drummer,Manchester,UK
490,Ricky,Echo,dancer,São Luís,Brazil
491,Bagga,Gibson,dread maker,Manchester,UK
492,Izzy,Black,drummer,London,UK
493,Izzy,EastWood,guitarist,Accra,Ghana
494,Adrian,Davidson,promoter,San Andres,Colombia
495,Chris,Chambers,keyboard player,Montego Bay,Jamaica
496,Val,Vernon,artisan,Amsterdan,NL
497,Chance,Russell,rodie,London,UK
498,Vinnie,Burton,driver,São Paulo,Brazil
499,Big,Jackson,drummer,Kingston,Jamaica
500,Zekiah,Jones,teacher,São Paulo,Brazil
501,Judy,Forrest,designer,St. Ann,Jamaica
502,Ray,Spirit,story teller,Kingston,Jamaica
503,Clive,Spirit,guitarist,Negril,Jamaica
504,Ernie,Star,farmer,Montego Bay,Jamaica
505,Horace,Smith,cooker,New York,USA
506,Courtney,Cole,doctor,New York,USA
507,Horace,Hold,dancer,London,UK
508,Ruby,McKenzie,doctor,Miami,USA
509,Jude,Tucker,horns player,Luanda,Angola
510,Chloe,White,mix engineer,St. Ann,Jamaica
511,Jerry,Chambers,designer,Ocho Rios,Jamaica
512,Horace,Campbell,poet,Spanish Town,Jamaica
513,Hopeton,Thompson,rodie,San Francisco,USA
514,Ricky,Russell,journalist,Montego Bay,Jamaica
515,Leroy,Banks,painter,Montego Bay,Jamaica
516,Lloyd,Cooper,writter,Havana,Cuba
517,Casey,Smokey,activist,Spanish Town,Jamaica
518,Vinnie,Black,promoter,Bristol,UK
519,Daddy,Reid,mix engineer,Bristol,UK
520,Leroy,Spirit,teacher,Paris,France
521,Chris,Jarret,journalist,New York,USA
522,Sista,Nelson,photographer,Lisbon,Portugal
523,Courtney,Smith,activist,Negril,Jamaica
524,Kelly,EastWood,guitarist,São Luís,Brazil
525,Jess,Gibson,box lifter,Virgin Islands,Virgin Islands
526,Phil,Love,story teller,London,UK
527,Taniyah,Burton,story teller,Dakar,Senegal
528,Willy,Vibes,farmer,Negril,Jamaica
529,Mark,Johnson,cooker,Negril,Jamaica
530,Ali,Edward,movie star,Virgin Islands,Virgin Islands
531,Casey,Fisher,designer,Montego Bay,Jamaica
532,Lioness,Echo,promoter,London,UK
533,Val,Wallace,journalist,Rio de Janeiro,Brazil
534,Daddy,Asher,story teller,Los Angeles,USA
535,Kaleisha,Baker,dealer,Negril,Jamaica
536,Marion,EastWood,designer,Birmingham,UK
537,Angel,13,athlete,Montego Bay,Jamaica
538,Jude,Davis,keyboard player,London,UK
539,Tony,Jacobs,promoter,London,UK
540,Horace,Williams,painter,London,UK
541,Noel,Hold,drummer,Spanish Town,Jamaica
542,Lioness,Pryce,singer,Trinidad & Tobago,Trinidad & Tobago
543,Judy,Baker,keyboard player,Miami,USA
544,Mighty,Irie,journalist,Spanish Town,Jamaica
545,Eddie,Asher,box lifter,New York,USA
546,August,Wallace,welder,Luanda,Angola
547,General,Grant,photographer,Spanish Town,Jamaica
548,Clive,Burton,poet,London,UK
549,Tony,Russell,deejay,Negril,Jamaica
550,Natty,Wallace,keyboard player,San Francisco,USA
551,Bertie,Irie,promoter,Kingston,Jamaica
552,Lee,Smokey,singer,St. Ann,Jamaica
553,Angel,Juice,cooker,Toronto,Canada
554,Mighty,Love,welder,St. Ann,Jamaica
555,Mark,Baker,journalist,San Francisco,USA
556,Junior,Watson,selectah,Trinidad & Tobago,Trinidad & Tobago
557,Vinnie,Fraser,selectah,New York,USA
558,Natty,Banton,doctor,Mexico City,Mexico
559,Chevelle,Stephens,dancer,Addis Abeba,Ethiopia
560,Kelly,Vibes,mix engineer,New York,USA
561,Donavan,Bhing,selectah,Mexico City,Mexico
562,Bagga,Vernon,artisan,Salvador,Brazil
563,Taniyah,Nelson,trader,Mexico City,Mexico
564,Benny,Whales,deejay,Los Angeles,USA
565,Morgan,Ford,welder,London,UK
566,Ellis,Johnson,drummer,Montego Bay,Jamaica
567,Courtney,Jacobs,box lifter,Montego Bay,Jamaica
568,Phil,Whales,singer,Spanish Town,Jamaica
569,Ranking,Fuller,story teller,Montego Bay,Jamaica
570,Donavan,Ranks,dread maker,Negril,Jamaica
571,Steff,Bailey,singer,Montego Bay,Jamaica
572,Benny,Ruler,deejay,Los Angeles,USA
573,Ricky,Jones,guitarist,Bristol,UK
574,Glen,Haynes,rodie,New York,USA
575,Randy,Smith,producer,Kingston,Jamaica
576,Ranking,Ward,athlete,Bristol,UK
577,Kaleisha,Haynes,architect,São Luís,Brazil
578,Shannon,Cole,teacher,Montego Bay,Jamaica
579,Daddy,Stephens,producer,London,UK
580,Chevelle,Burton,box lifter,London,UK
581,Mighty,Collins,photographer,Spanish Town,Jamaica
582,Donavan,Green,artisan,Dakar,Senegal
583,General,Banton,hustler,London,UK
584,Willy,Sterling,dancer,São Luís,Brazil
585,Cedella,Clarke,designer,Montego Bay,Jamaica
586,Mark,Bear,dancer,Toronto,Canada
587,Eddie,Wallace,selectah,Kingston,Jamaica
588,Ellis,Baker,driver,Addis Abeba,Ethiopia
589,Kenroy,Haynes,driver,London,UK
590,Jess,Fisher,grower,Ocho Rios,Jamaica
591,General,Lawson,athlete,Ocho Rios,Jamaica
592,Daryl,Higgins,photographer,Montego Bay,Jamaica
593,Francis,Hyatt,developer,Trinidad & Tobago,Trinidad & Tobago
594,Ketty,Reid,dealer,Spanish Town,Jamaica
595,Ali,Hyatt,percussionist,Kingston,Jamaica
596,Mel,Ross,guitarist,Ocho Rios,Jamaica
597,Noel,Wonder,doctor,Negril,Jamaica
598,Bob,Stone,guitarist,San Francisco,USA
599,Erin,Wong,dealer,St. Ann,Jamaica
